plataforma,equipamento,tipo_sensor,valor,unidade,timestamp
Plataforma C,SensorBox 3,umidade,52.81,%,2025-03-22T16:35:01.999021+00:00
Plataforma C,SensorBox 3,pressao,36.34,Pa,2025-03-22T16:35:01.999021+00:00
Plataforma A,SensorBox 2,temperatura,34.44,C,2025-03-22T16:35:01.999027+00:00
Plataforma A,SensorBox 2,umidade,51.87,%,2025-03-22T16:35:01.999027+00:00
Plataforma A,SensorBox 2,pressao,57.2,Pa,2025-03-22T16:35:01.999027+00:00
Plataforma A,SensorBox 1,temperatura,29.06,C,2025-03-22T16:35:01.999034+00:00
Plataforma A,SensorBox 1,umidade,80.06,%,2025-03-22T16:35:01.999034+00:00
Plataforma A,SensorBox 1,pressao,82.42,Pa,2025-03-22T16:35:01.999034+00:00
Plataforma C,SensorBox 3,temperatura,57.96,C,2025-03-22T16:35:01.999040+00:00
Plataforma C,SensorBox 3,umidade,55.69,%,2025-03-22T16:35:01.999040+00:00
Plataforma C,SensorBox 3,pressao,55.12,Pa,2025-03-22T16:35:01.999040+00:00
Plataforma C,SensorBox 1,temperatura,20.14,C,2025-03-22T16:35:01.999047+00:00
Plataforma C,SensorBox 1,umidade,92.35,%,2025-03-22T16:35:01.999047+00:00
Plataforma C,SensorBox 1,pressao,94.55,Pa,2025-03-22T16:35:01.999047+00:00
Plataforma B,SensorBox 2,temperatura,10.31,C,2025-03-22T16:35:01.999053+00:00
Plataforma B,SensorBox 2,umidade,24.75,%,2025-03-22T16:35:01.999053+00:00
Plataforma B,SensorBox 2,pressao,65.57,Pa,2025-03-22T16:35:01.999053+00:00
Plataforma A,SensorBox 3,temperatura,98.34,C,2025-03-22T16:35:01.999062+00:00
Plataforma A,SensorBox 3,umidade,79.26,%,2025-03-22T16:35:01.999062+00:00
Plataforma A,SensorBox 3,pressao,69.4,Pa,2025-03-22T16:35:01.999062+00:00
Plataforma C,SensorBox 3,temperatura,58.22,C,2025-03-22T16:35:01.999070+00:00
Plataforma C,SensorBox 3,umidade,33.11,%,2025-03-22T16:35:01.999070+00:00
Plataforma C,SensorBox 3,pressao,85.68,Pa,2025-03-22T16:35:01.999070+00:00
Plataforma A,SensorBox 3,temperatura,20.35,C,2025-03-22T16:35:01.999076+00:00
Plataforma A,SensorBox 3,umidade,47.98,%,2025-03-22T16:35:01.999076+00:00
Plataforma A,SensorBox 3,pressao,22.64,Pa,2025-03-22T16:35:01.999076+00:00
Plataforma C,SensorBox 1,temperatura,43.22,C,2025-03-22T16:35:01.999083+00:00
Plataforma C,SensorBox 1,umidade,88.38,%,2025-03-22T16:35:01.999083+00:00
Plataforma C,SensorBox 1,pressao,35.75,Pa,2025-03-22T16:35:01.999083+00:00
Plataforma A,SensorBox 2,temperatura,67.55,C,2025-03-22T16:35:01.999089+00:00
Plataforma A,SensorBox 2,umidade,23.82,%,2025-03-22T16:35:01.999089+00:00
Plataforma A,SensorBox 2,pressao,73.69,Pa,2025-03-22T16:35:01.999089+00:00
Plataforma C,SensorBox 3,temperatura,97.33,C,2025-03-22T16:35:01.999096+00:00
Plataforma C,SensorBox 3,umidade,98.31,%,2025-03-22T16:35:01.999096+00:00
Plataforma C,SensorBox 3,pressao,42.16,Pa,2025-03-22T16:35:01.999096+00:00
Plataforma C,SensorBox 3,temperatura,26.44,C,2025-03-22T16:35:01.999102+00:00
Plataforma C,SensorBox 3,umidade,78.7,%,2025-03-22T16:35:01.999102+00:00
Plataforma C,SensorBox 3,pressao,20.94,Pa,2025-03-22T16:35:01.999102+00:00
Plataforma C,SensorBox 2,temperatura,12.57,C,2025-03-22T16:35:01.999108+00:00
Plataforma C,SensorBox 2,umidade,62.7,%,2025-03-22T16:35:01.999108+00:00
Plataforma C,SensorBox 2,pressao,25.13,Pa,2025-03-22T16:35:01.999108+00:00
Plataforma A,SensorBox 1,temperatura,52.42,C,2025-03-22T16:35:01.999116+00:00
Plataforma A,SensorBox 1,umidade,71.74,%,2025-03-22T16:35:01.999116+00:00
Plataforma A,SensorBox 1,pressao,77.55,Pa,2025-03-22T16:35:01.999116+00:00
Plataforma C,SensorBox 2,temperatura,13.75,C,2025-03-22T16:35:01.999123+00:00
Plataforma C,SensorBox 2,umidade,36.57,%,2025-03-22T16:35:01.999123+00:00
Plataforma C,SensorBox 2,pressao,30.0,Pa,2025-03-22T16:35:01.999123+00:00
Plataforma A,SensorBox 1,temperatura,16.66,C,2025-03-22T16:35:01.999130+00:00
Plataforma A,SensorBox 1,umidade,19.72,%,2025-03-22T16:35:01.999130+00:00
Plataforma A,SensorBox 1,pressao,26.49,Pa,2025-03-22T16:35:01.999130+00:00
Plataforma C,SensorBox 3,temperatura,42.23,C,2025-03-22T16:35:01.999137+00:00
Plataforma C,SensorBox 3,umidade,96.82,%,2025-03-22T16:35:01.999137+00:00
Plataforma C,SensorBox 3,pressao,86.36,Pa,2025-03-22T16:35:01.999137+00:00
Plataforma C,SensorBox 3,temperatura,97.96,C,2025-03-22T16:35:01.999143+00:00
Plataforma C,SensorBox 3,umidade,37.34,%,2025-03-22T16:35:01.999143+00:00
Plataforma C,SensorBox 3,pressao,96.49,Pa,2025-03-22T16:35:01.999143+00:00
Plataforma C,SensorBox 3,temperatura,36.1,C,2025-03-22T16:35:01.999150+00:00
Plataforma C,SensorBox 3,umidade,36.61,%,2025-03-22T16:35:01.999150+00:00
Plataforma C,SensorBox 3,pressao,97.45,Pa,2025-03-22T16:35:01.999150+00:00
Plataforma C,SensorBox 3,temperatura,59.51,C,2025-03-22T16:35:01.999157+00:00
Plataforma C,SensorBox 3,umidade,78.31,%,2025-03-22T16:35:01.999157+00:00
Plataforma C,SensorBox 3,pressao,90.35,Pa,2025-03-22T16:35:01.999157+00:00
Plataforma B,SensorBox 3,temperatura,45.91,C,2025-03-22T16:35:01.999164+00:00
Plataforma B,SensorBox 3,umidade,29.88,%,2025-03-22T16:35:01.999164+00:00
Plataforma B,SensorBox 3,pressao,22.51,Pa,2025-03-22T16:35:01.999164+00:00
Plataforma A,SensorBox 2,temperatura,86.9,C,2025-03-22T16:35:01.999171+00:00
Plataforma A,SensorBox 2,umidade,24.61,%,2025-03-22T16:35:01.999171+00:00
Plataforma A,SensorBox 2,pressao,41.31,Pa,2025-03-22T16:35:01.999171+00:00
Plataforma B,SensorBox 1,temperatura,83.71,C,2025-03-22T16:35:01.999178+00:00
Plataforma B,SensorBox 1,umidade,71.0,%,2025-03-22T16:35:01.999178+00:00
Plataforma B,SensorBox 1,pressao,52.64,Pa,2025-03-22T16:35:01.999178+00:00
Plataforma B,SensorBox 2,temperatura,72.63,C,2025-03-22T16:35:01.999185+00:00
Plataforma B,SensorBox 2,umidade,10.22,%,2025-03-22T16:35:01.999185+00:00
Plataforma B,SensorBox 2,pressao,23.07,Pa,2025-03-22T16:35:01.999185+00:00
Plataforma C,SensorBox 2,temperatura,75.87,C,2025-03-22T16:35:01.999191+00:00
Plataforma C,SensorBox 2,umidade,17.91,%,2025-03-22T16:35:01.999191+00:00
Plataforma C,SensorBox 2,pressao,34.13,Pa,2025-03-22T16:35:01.999191+00:00
Plataforma A,SensorBox 3,temperatura,41.68,C,2025-03-22T16:35:01.999197+00:00
Plataforma A,SensorBox 3,umidade,93.98,%,2025-03-22T16:35:01.999197+00:00
Plataforma A,SensorBox 3,pressao,22.59,Pa,2025-03-22T16:35:01.999197+00:00
Plataforma A,SensorBox 1,temperatura,90.51,C,2025-03-22T16:35:01.999204+00:00
Plataforma A,SensorBox 1,umidade,47.71,%,2025-03-22T16:35:01.999204+00:00
Plataforma A,SensorBox 1,pressao,87.56,Pa,2025-03-22T16:35:01.999204+00:00
Plataforma A,SensorBox 2,temperatura,71.61,C,2025-03-22T16:35:01.999212+00:00
Plataforma A,SensorBox 2,umidade,94.01,%,2025-03-22T16:35:01.999212+00:00
Plataforma A,SensorBox 2,pressao,14.99,Pa,2025-03-22T16:35:01.999212+00:00
Plataforma B,SensorBox 3,temperatura,48.12,C,2025-03-22T16:35:01.999218+00:00
Plataforma B,SensorBox 3,umidade,57.62,%,2025-03-22T16:35:01.999218+00:00
Plataforma B,SensorBox 3,pressao,15.58,Pa,2025-03-22T16:35:01.999218+00:00
Plataforma C,SensorBox 3,temperatura,49.06,C,2025-03-22T16:35:01.999226+00:00
Plataforma C,SensorBox 3,umidade,96.03,%,2025-03-22T16:35:01.999226+00:00
Plataforma C,SensorBox 3,pressao,71.9,Pa,2025-03-22T16:35:01.999226+00:00
Plataforma C,SensorBox 2,temperatura,55.5,C,2025-03-22T16:35:01.999233+00:00
Plataforma C,SensorBox 2,umidade,83.74,%,2025-03-22T16:35:01.999233+00:00
Plataforma C,SensorBox 2,pressao,25.94,Pa,2025-03-22T16:35:01.999233+00:00
Plataforma A,SensorBox 3,temperatura,78.33,C,2025-03-22T16:35:01.999240+00:00
Plataforma A,SensorBox 3,umidade,61.34,%,2025-03-22T16:35:01.999240+00:00
Plataforma A,SensorBox 3,pressao,52.84,Pa,2025-03-22T16:35:01.999240+00:00
Plataforma B,SensorBox 3,temperatura,69.98,C,2025-03-22T16:35:01.999247+00:00
Plataforma B,SensorBox 3,umidade,75.46,%,2025-03-22T16:35:01.999247+00:00
Plataforma B,SensorBox 3,pressao,68.61,Pa,2025-03-22T16:35:01.999247+00:00
Plataforma C,SensorBox 3,temperatura,67.85,C,2025-03-22T16:35:01.999253+00:00
Plataforma C,SensorBox 3,umidade,67.76,%,2025-03-22T16:35:01.999253+00:00
Plataforma C,SensorBox 3,pressao,10.8,Pa,2025-03-22T16:35:01.999253+00:00
Plataforma B,SensorBox 2,temperatura,90.83,C,2025-03-22T16:35:01.999260+00:00
Plataforma B,SensorBox 2,umidade,52.12,%,2025-03-22T16:35:01.999260+00:00
Plataforma B,SensorBox 2,pressao,73.07,Pa,2025-03-22T16:35:01.999260+00:00
Plataforma B,SensorBox 1,temperatura,52.83,C,2025-03-22T16:35:01.999266+00:00
Plataforma B,SensorBox 1,umidade,87.67,%,2025-03-22T16:35:01.999266+00:00
Plataforma B,SensorBox 1,pressao,85.89,Pa,2025-03-22T16:35:01.999266+00:00
Plataforma A,SensorBox 2,temperatura,23.8,C,2025-03-22T16:35:01.999273+00:00
Plataforma A,SensorBox 2,umidade,91.07,%,2025-03-22T16:35:01.999273+00:00
Plataforma A,SensorBox 2,pressao,60.99,Pa,2025-03-22T16:35:01.999273+00:00
Plataforma A,SensorBox 3,temperatura,92.41,C,2025-03-22T16:35:01.999281+00:00
Plataforma A,SensorBox 3,umidade,59.9,%,2025-03-22T16:35:01.999281+00:00
Plataforma A,SensorBox 3,pressao,94.07,Pa,2025-03-22T16:35:01.999281+00:00
Plataforma B,SensorBox 3,temperatura,47.9,C,2025-03-22T16:35:01.999287+00:00
Plataforma B,SensorBox 3,umidade,53.52,%,2025-03-22T16:35:01.999287+00:00
Plataforma B,SensorBox 3,pressao,38.9,Pa,2025-03-22T16:35:01.999287+00:00
Plataforma C,SensorBox 2,temperatura,17.9,C,2025-03-22T16:35:01.999294+00:00
Plataforma C,SensorBox 2,umidade,77.89,%,2025-03-22T16:35:01.999294+00:00
Plataforma C,SensorBox 2,pressao,74.99,Pa,2025-03-22T16:35:01.999294+00:00
Plataforma A,SensorBox 2,temperatura,96.18,C,2025-03-22T16:35:01.999300+00:00
Plataforma A,SensorBox 2,umidade,78.16,%,2025-03-22T16:35:01.999300+00:00
Plataforma A,SensorBox 2,pressao,31.56,Pa,2025-03-22T16:35:01.999300+00:00
Plataforma B,SensorBox 2,temperatura,29.98,C,2025-03-22T16:35:01.999307+00:00
Plataforma B,SensorBox 2,umidade,77.37,%,2025-03-22T16:35:01.999307+00:00
Plataforma B,SensorBox 2,pressao,72.77,Pa,2025-03-22T16:35:01.999307+00:00
Plataforma C,SensorBox 1,temperatura,58.01,C,2025-03-22T16:35:01.999313+00:00
Plataforma C,SensorBox 1,umidade,16.07,%,2025-03-22T16:35:01.999313+00:00
Plataforma C,SensorBox 1,pressao,83.91,Pa,2025-03-22T16:35:01.999313+00:00
Plataforma C,SensorBox 2,temperatura,59.58,C,2025-03-22T16:35:01.999323+00:00
Plataforma C,SensorBox 2,umidade,81.74,%,2025-03-22T16:35:01.999323+00:00
Plataforma C,SensorBox 2,pressao,16.64,Pa,2025-03-22T16:35:01.999323+00:00
Plataforma C,SensorBox 1,temperatura,88.81,C,2025-03-22T16:35:01.999331+00:00
Plataforma C,SensorBox 1,umidade,71.11,%,2025-03-22T16:35:01.999331+00:00
Plataforma C,SensorBox 1,pressao,35.19,Pa,2025-03-22T16:35:01.999331+00:00
Plataforma C,SensorBox 2,temperatura,37.2,C,2025-03-22T16:35:01.999339+00:00
Plataforma C,SensorBox 2,umidade,93.31,%,2025-03-22T16:35:01.999339+00:00
Plataforma C,SensorBox 2,pressao,73.92,Pa,2025-03-22T16:35:01.999339+00:00
Plataforma C,SensorBox 1,temperatura,89.79,C,2025-03-22T16:35:01.999346+00:00
Plataforma C,SensorBox 1,umidade,24.79,%,2025-03-22T16:35:01.999346+00:00
Plataforma C,SensorBox 1,pressao,52.59,Pa,2025-03-22T16:35:01.999346+00:00
Plataforma A,SensorBox 1,temperatura,76.75,C,2025-03-22T16:35:01.999352+00:00
Plataforma A,SensorBox 1,umidade,12.31,%,2025-03-22T16:35:01.999352+00:00
Plataforma A,SensorBox 1,pressao,86.36,Pa,2025-03-22T16:35:01.999352+00:00
Plataforma A,SensorBox 3,temperatura,20.58,C,2025-03-22T16:35:01.999359+00:00
Plataforma A,SensorBox 3,umidade,73.27,%,2025-03-22T16:35:01.999359+00:00
Plataforma A,SensorBox 3,pressao,16.0,Pa,2025-03-22T16:35:01.999359+00:00
Plataforma C,SensorBox 2,temperatura,37.93,C,2025-03-22T16:35:01.999365+00:00
Plataforma C,SensorBox 2,umidade,75.94,%,2025-03-22T16:35:01.999365+00:00
Plataforma C,SensorBox 2,pressao,58.81,Pa,2025-03-22T16:35:01.999365+00:00
Plataforma C,SensorBox 2,temperatura,15.99,C,2025-03-22T16:35:01.999372+00:00
Plataforma C,SensorBox 2,umidade,10.42,%,2025-03-22T16:35:01.999372+00:00
Plataforma C,SensorBox 2,pressao,75.19,Pa,2025-03-22T16:35:01.999372+00:00
Plataforma C,SensorBox 3,temperatura,14.19,C,2025-03-22T16:35:01.999378+00:00
Plataforma C,SensorBox 3,umidade,59.95,%,2025-03-22T16:35:01.999378+00:00
Plataforma C,SensorBox 3,pressao,30.24,Pa,2025-03-22T16:35:01.999378+00:00
Plataforma B,SensorBox 2,temperatura,31.09,C,2025-03-22T16:35:01.999385+00:00
Plataforma B,SensorBox 2,umidade,49.6,%,2025-03-22T16:35:01.999385+00:00
Plataforma B,SensorBox 2,pressao,86.97,Pa,2025-03-22T16:35:01.999385+00:00
Plataforma B,SensorBox 1,temperatura,61.1,C,2025-03-22T16:35:01.999394+00:00
Plataforma B,SensorBox 1,umidade,54.5,%,2025-03-22T16:35:01.999394+00:00
Plataforma B,SensorBox 1,pressao,57.32,Pa,2025-03-22T16:35:01.999394+00:00
Plataforma A,SensorBox 3,temperatura,61.33,C,2025-03-22T16:35:01.999401+00:00
Plataforma A,SensorBox 3,umidade,20.81,%,2025-03-22T16:35:01.999401+00:00
Plataforma A,SensorBox 3,pressao,41.06,Pa,2025-03-22T16:35:01.999401+00:00
Plataforma B,SensorBox 1,temperatura,14.58,C,2025-03-22T16:35:01.999407+00:00
Plataforma B,SensorBox 1,umidade,40.01,%,2025-03-22T16:35:01.999407+00:00
Plataforma B,SensorBox 1,pressao,59.1,Pa,2025-03-22T16:35:01.999407+00:00
Plataforma B,SensorBox 3,temperatura,74.36,C,2025-03-22T16:35:01.999449+00:00
Plataforma B,SensorBox 3,umidade,87.97,%,2025-03-22T16:35:01.999449+00:00
Plataforma B,SensorBox 3,pressao,23.76,Pa,2025-03-22T16:35:01.999449+00:00
Plataforma B,SensorBox 2,temperatura,87.18,C,2025-03-22T16:35:01.999467+00:00
Plataforma B,SensorBox 2,umidade,28.85,%,2025-03-22T16:35:01.999467+00:00
Plataforma B,SensorBox 2,pressao,61.3,Pa,2025-03-22T16:35:01.999467+00:00
Plataforma C,SensorBox 1,temperatura,24.92,C,2025-03-22T16:35:01.999480+00:00
Plataforma C,SensorBox 1,umidade,12.58,%,2025-03-22T16:35:01.999480+00:00
Plataforma C,SensorBox 1,pressao,91.43,Pa,2025-03-22T16:35:01.999480+00:00
Plataforma A,SensorBox 1,temperatura,26.77,C,2025-03-22T16:35:01.999488+00:00
Plataforma A,SensorBox 1,umidade,60.78,%,2025-03-22T16:35:01.999488+00:00
Plataforma A,SensorBox 1,pressao,23.21,Pa,2025-03-22T16:35:01.999488+00:00
Plataforma A,SensorBox 2,temperatura,61.01,C,2025-03-22T16:35:01.999496+00:00
Plataforma A,SensorBox 2,umidade,25.28,%,2025-03-22T16:35:01.999496+00:00
Plataforma A,SensorBox 2,pressao,62.54,Pa,2025-03-22T16:35:01.999496+00:00
Plataforma A,SensorBox 2,temperatura,30.3,C,2025-03-22T16:35:01.999517+00:00
Plataforma A,SensorBox 2,umidade,33.89,%,2025-03-22T16:35:01.999517+00:00
Plataforma A,SensorBox 2,pressao,50.25,Pa,2025-03-22T16:35:01.999517+00:00
Plataforma B,SensorBox 1,temperatura,98.42,C,2025-03-22T16:35:01.999523+00:00
Plataforma B,SensorBox 1,umidade,17.1,%,2025-03-22T16:35:01.999523+00:00
Plataforma B,SensorBox 1,pressao,61.48,Pa,2025-03-22T16:35:01.999523+00:00
Plataforma A,SensorBox 2,temperatura,13.09,C,2025-03-22T16:35:01.999530+00:00
Plataforma A,SensorBox 2,umidade,15.85,%,2025-03-22T16:35:01.999530+00:00
Plataforma A,SensorBox 2,pressao,35.22,Pa,2025-03-22T16:35:01.999530+00:00
Plataforma A,SensorBox 3,temperatura,53.12,C,2025-03-22T16:35:01.999536+00:00
Plataforma A,SensorBox 3,umidade,31.65,%,2025-03-22T16:35:01.999536+00:00
Plataforma A,SensorBox 3,pressao,18.58,Pa,2025-03-22T16:35:01.999536+00:00
Plataforma A,SensorBox 2,temperatura,84.79,C,2025-03-22T16:35:01.999543+00:00
Plataforma A,SensorBox 2,umidade,87.79,%,2025-03-22T16:35:01.999543+00:00
Plataforma A,SensorBox 2,pressao,53.89,Pa,2025-03-22T16:35:01.999543+00:00
Plataforma C,SensorBox 1,temperatura,61.35,C,2025-03-22T16:35:01.999549+00:00
Plataforma C,SensorBox 1,umidade,57.12,%,2025-03-22T16:35:01.999549+00:00
Plataforma C,SensorBox 1,pressao,95.44,Pa,2025-03-22T16:35:01.999549+00:00
Plataforma B,SensorBox 3,temperatura,77.9,C,2025-03-22T16:35:01.999556+00:00
Plataforma B,SensorBox 3,umidade,61.7,%,2025-03-22T16:35:01.999556+00:00
Plataforma B,SensorBox 3,pressao,92.03,Pa,2025-03-22T16:35:01.999556+00:00
Plataforma C,SensorBox 1,temperatura,35.51,C,2025-03-22T16:35:01.999562+00:00
Plataforma C,SensorBox 1,umidade,77.79,%,2025-03-22T16:35:01.999562+00:00
Plataforma C,SensorBox 1,pressao,43.17,Pa,2025-03-22T16:35:01.999562+00:00
Plataforma A,SensorBox 2,temperatura,84.34,C,2025-03-22T16:35:01.999571+00:00
Plataforma A,SensorBox 2,umidade,32.61,%,2025-03-22T16:35:01.999571+00:00
Plataforma A,SensorBox 2,pressao,67.62,Pa,2025-03-22T16:35:01.999571+00:00
Plataforma C,SensorBox 3,temperatura,88.23,C,2025-03-22T16:35:01.999577+00:00
Plataforma C,SensorBox 3,umidade,96.87,%,2025-03-22T16:35:01.999577+00:00
Plataforma C,SensorBox 3,pressao,72.33,Pa,2025-03-22T16:35:01.999577+00:00
Plataforma A,SensorBox 1,temperatura,12.16,C,2025-03-22T16:35:01.999584+00:00
Plataforma A,SensorBox 1,umidade,79.76,%,2025-03-22T16:35:01.999584+00:00
Plataforma A,SensorBox 1,pressao,98.58,Pa,2025-03-22T16:35:01.999584+00:00
Plataforma B,SensorBox 2,temperatura,82.04,C,2025-03-22T16:35:01.999590+00:00
Plataforma B,SensorBox 2,umidade,31.34,%,2025-03-22T16:35:01.999590+00:00
Plataforma B,SensorBox 2,pressao,60.69,Pa,2025-03-22T16:35:01.999590+00:00
Plataforma A,SensorBox 2,temperatura,91.38,C,2025-03-22T16:35:01.999597+00:00
Plataforma A,SensorBox 2,umidade,59.88,%,2025-03-22T16:35:01.999597+00:00
Plataforma A,SensorBox 2,pressao,82.83,Pa,2025-03-22T16:35:01.999597+00:00
Plataforma C,SensorBox 2,temperatura,55.63,C,2025-03-22T16:35:01.999603+00:00
Plataforma C,SensorBox 2,umidade,30.07,%,2025-03-22T16:35:01.999603+00:00
Plataforma C,SensorBox 2,pressao,53.83,Pa,2025-03-22T16:35:01.999603+00:00
Plataforma B,SensorBox 1,temperatura,54.96,C,2025-03-22T16:35:01.999609+00:00
Plataforma B,SensorBox 1,umidade,81.59,%,2025-03-22T16:35:01.999609+00:00
Plataforma B,SensorBox 1,pressao,31.52,Pa,2025-03-22T16:35:01.999609+00:00
Plataforma B,SensorBox 1,temperatura,72.42,C,2025-03-22T16:35:01.999616+00:00
Plataforma B,SensorBox 1,umidade,57.06,%,2025-03-22T16:35:01.999616+00:00
Plataforma B,SensorBox 1,pressao,28.03,Pa,2025-03-22T16:35:01.999616+00:00
Plataforma A,SensorBox 1,temperatura,95.61,C,2025-03-22T16:35:01.999623+00:00
Plataforma A,SensorBox 1,umidade,98.72,%,2025-03-22T16:35:01.999623+00:00
Plataforma A,SensorBox 1,pressao,74.39,Pa,2025-03-22T16:35:01.999623+00:00
Plataforma A,SensorBox 1,temperatura,11.93,C,2025-03-22T16:35:01.999630+00:00
Plataforma A,SensorBox 1,umidade,49.29,%,2025-03-22T16:35:01.999630+00:00
Plataforma A,SensorBox 1,pressao,31.91,Pa,2025-03-22T16:35:01.999630+00:00
Plataforma A,SensorBox 3,temperatura,76.88,C,2025-03-22T16:35:01.999637+00:00
Plataforma A,SensorBox 3,umidade,67.87,%,2025-03-22T16:35:01.999637+00:00
Plataforma A,SensorBox 3,pressao,99.55,Pa,2025-03-22T16:35:01.999637+00:00
Plataforma A,SensorBox 3,temperatura,98.9,C,2025-03-22T16:35:01.999643+00:00
Plataforma A,SensorBox 3,umidade,98.38,%,2025-03-22T16:35:01.999643+00:00
Plataforma A,SensorBox 3,pressao,16.25,Pa,2025-03-22T16:35:01.999643+00:00
Plataforma A,SensorBox 2,temperatura,55.08,C,2025-03-22T16:35:01.999649+00:00
Plataforma A,SensorBox 2,umidade,51.71,%,2025-03-22T16:35:01.999649+00:00
Plataforma A,SensorBox 2,pressao,91.65,Pa,2025-03-22T16:35:01.999649+00:00
Plataforma B,SensorBox 1,temperatura,61.29,C,2025-03-22T16:35:01.999657+00:00
Plataforma B,SensorBox 1,umidade,61.14,%,2025-03-22T16:35:01.999657+00:00
Plataforma B,SensorBox 1,pressao,60.49,Pa,2025-03-22T16:35:01.999657+00:00
Plataforma C,SensorBox 1,temperatura,93.0,C,2025-03-22T16:35:01.999664+00:00
Plataforma C,SensorBox 1,umidade,39.69,%,2025-03-22T16:35:01.999664+00:00
Plataforma C,SensorBox 1,pressao,14.8,Pa,2025-03-22T16:35:01.999664+00:00
Plataforma C,SensorBox 3,temperatura,17.33,C,2025-03-22T16:35:01.999670+00:00
Plataforma C,SensorBox 3,umidade,74.18,%,2025-03-22T16:35:01.999670+00:00
Plataforma C,SensorBox 3,pressao,97.92,Pa,2025-03-22T16:35:01.999670+00:00
Plataforma A,SensorBox 2,temperatura,80.41,C,2025-03-22T16:35:01.999678+00:00
Plataforma A,SensorBox 2,umidade,37.04,%,2025-03-22T16:35:01.999678+00:00
Plataforma A,SensorBox 2,pressao,52.82,Pa,2025-03-22T16:35:01.999678+00:00
Plataforma A,SensorBox 3,temperatura,64.71,C,2025-03-22T16:35:01.999685+00:00
Plataforma A,SensorBox 3,umidade,62.46,%,2025-03-22T16:35:01.999685+00:00
Plataforma A,SensorBox 3,pressao,33.54,Pa,2025-03-22T16:35:01.999685+00:00
Plataforma B,SensorBox 3,temperatura,47.07,C,2025-03-22T16:35:01.999691+00:00
Plataforma B,SensorBox 3,umidade,39.67,%,2025-03-22T16:35:01.999691+00:00
Plataforma B,SensorBox 3,pressao,47.98,Pa,2025-03-22T16:35:01.999691+00:00
Plataforma C,SensorBox 2,temperatura,98.85,C,2025-03-22T16:35:01.999698+00:00
Plataforma C,SensorBox 2,umidade,59.44,%,2025-03-22T16:35:01.999698+00:00
Plataforma C,SensorBox 2,pressao,78.8,Pa,2025-03-22T16:35:01.999698+00:00
Plataforma B,SensorBox 1,temperatura,52.6,C,2025-03-22T16:35:01.999705+00:00
Plataforma B,SensorBox 1,umidade,64.04,%,2025-03-22T16:35:01.999705+00:00
Plataforma B,SensorBox 1,pressao,22.86,Pa,2025-03-22T16:35:01.999705+00:00
Plataforma B,SensorBox 3,temperatura,97.79,C,2025-03-22T16:35:01.999713+00:00
Plataforma B,SensorBox 3,umidade,39.72,%,2025-03-22T16:35:01.999713+00:00
Plataforma B,SensorBox 3,pressao,67.57,Pa,2025-03-22T16:35:01.999713+00:00
Plataforma B,SensorBox 3,temperatura,33.08,C,2025-03-22T16:35:01.999719+00:00
Plataforma B,SensorBox 3,umidade,24.71,%,2025-03-22T16:35:01.999719+00:00
Plataforma B,SensorBox 3,pressao,50.22,Pa,2025-03-22T16:35:01.999719+00:00
Plataforma C,SensorBox 3,temperatura,33.79,C,2025-03-22T16:35:01.999725+00:00
Plataforma C,SensorBox 3,umidade,55.54,%,2025-03-22T16:35:01.999725+00:00
Plataforma C,SensorBox 3,pressao,43.49,Pa,2025-03-22T16:35:01.999725+00:00
Plataforma A,SensorBox 1,temperatura,15.49,C,2025-03-22T16:35:01.999733+00:00
Plataforma A,SensorBox 1,umidade,51.56,%,2025-03-22T16:35:01.999733+00:00
Plataforma A,SensorBox 1,pressao,27.46,Pa,2025-03-22T16:35:01.999733+00:00
Plataforma A,SensorBox 1,temperatura,66.6,C,2025-03-22T16:35:01.999742+00:00
Plataforma A,SensorBox 1,umidade,94.65,%,2025-03-22T16:35:01.999742+00:00
Plataforma A,SensorBox 1,pressao,80.73,Pa,2025-03-22T16:35:01.999742+00:00
Plataforma A,SensorBox 1,temperatura,87.8,C,2025-03-22T16:35:01.999749+00:00
Plataforma A,SensorBox 1,umidade,53.51,%,2025-03-22T16:35:01.999749+00:00
Plataforma A,SensorBox 1,pressao,74.51,Pa,2025-03-22T16:35:01.999749+00:00
Plataforma B,SensorBox 3,temperatura,23.89,C,2025-03-22T16:35:01.999755+00:00
Plataforma B,SensorBox 3,umidade,65.97,%,2025-03-22T16:35:01.999755+00:00
Plataforma B,SensorBox 3,pressao,98.45,Pa,2025-03-22T16:35:01.999755+00:00
Plataforma A,SensorBox 2,temperatura,30.21,C,2025-03-22T16:35:01.999761+00:00
Plataforma A,SensorBox 2,umidade,67.43,%,2025-03-22T16:35:01.999761+00:00
Plataforma A,SensorBox 2,pressao,88.98,Pa,2025-03-22T16:35:01.999761+00:00
Plataforma A,SensorBox 2,temperatura,42.05,C,2025-03-22T16:35:01.999768+00:00
Plataforma A,SensorBox 2,umidade,28.82,%,2025-03-22T16:35:01.999768+00:00
Plataforma A,SensorBox 2,pressao,42.6,Pa,2025-03-22T16:35:01.999768+00:00
Plataforma A,SensorBox 2,temperatura,36.84,C,2025-03-22T16:35:01.999774+00:00
Plataforma A,SensorBox 2,umidade,19.3,%,2025-03-22T16:35:01.999774+00:00
Plataforma A,SensorBox 2,pressao,16.42,Pa,2025-03-22T16:35:01.999774+00:00
Plataforma B,SensorBox 2,temperatura,88.0,C,2025-03-22T16:35:01.999781+00:00
